# 24c16b5a-1587-4e3a-af02-4aae4f0941c3
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.1105650; -0.1971432; -1.5142506; 0.0055770; 5.7236686; 0.1484331
0.2994994; 0.1883003; -0.1799936; -1.5127622; 0.0043855; 5.7314303; 0.1342512
0.5989989; 0.4871726; -0.1624510; -1.5116357; 0.0031462; 5.7384414; 0.1187061
0.8984983; 0.7860800; -0.1446233; -1.5108707; 0.0019758; 5.7446335; 0.1016367
1.1979977; 1.0850390; -0.1266134; -1.5104308; 0.0010051; 5.7499300; 0.0824608
1.4974972; 1.3840519; -0.1085079; -1.5102379; 0.0003836; 5.7542235; 0.0601286
1.7969966; 1.6831051; -0.0903639; -1.5101667; 0.0002470; 5.7573523; 0.0337148
2.0964960; 1.9821701; -0.0721952; -1.5100528; 0.0006707; 5.7591059; 0.0026011
2.3959955; 2.2812074; -0.0539655; -1.5097200; 0.0016862; 5.7592411; -0.0338003
2.6954949; 2.5801704; -0.0355842; -1.5089807; 0.0033479; 5.7574832; -0.0767885
2.9949943; 2.8790112; -0.0169014; -1.5076184; 0.0057812; 5.7534873; -0.1364614
3.2944938; 3.1780088; 0.0023255; -1.5053668; 0.0092896; 5.7463794; -0.2052432
3.5939932; 3.4770203; 0.0224036; -1.5018860; 0.0141136; 5.7356722; -0.2930303
3.8934926; 3.7759573; 0.0437617; -1.4967198; 0.0207081; 5.7203506; -0.4098750
4.1929921; 4.0747442; 0.0669914; -1.4892220; 0.0299441; 5.6988504; -0.5708345
4.4924915; 4.3732848; 0.0929215; -1.4784353; 0.0429677; 5.6687712; -0.7913526
4.7919909; 4.6714353; 0.1227165; -1.4630748; 0.0605076; 5.6268061; -1.0815290
5.0914904; 4.9689551; 0.1579400; -1.4417027; 0.0831571; 5.5689418; -1.4466943
5.3909898; 5.2654341; 0.2005990; -1.4126225; 0.1123469; 5.4905869; -1.8849305
5.6904892; 5.5601726; 0.2532494; -1.3734976; 0.1509716; 5.3867869; -2.3771862
5.9899886; 5.8519906; 0.3192059; -1.3208921; 0.2033908; 5.2529555; -2.8747597
6.2894881; 6.1389378; 0.4028357; -1.2499561; 0.2740147; 5.0864097; -3.3314046
6.5889875; 6.4184669; 0.5100538; -1.1545829; 0.3650683; 4.8863131; -3.5750196
6.8884869; 6.6844208; 0.6471520; -1.0300232; 0.4669875; 4.6620407; -3.5930076
7.1879864; 6.9284495; 0.8196912; -0.8762313; 0.5566358; 4.4252023; -3.3538388
7.4874858; 7.1407927; 1.0301835; -0.7010539; 0.6044599; 4.1920723; -2.5856548
7.7869852; 7.3125987; 1.2754070; -0.5231531; 0.5724196; 4.0030821; -1.3253945
