# 1a973098-41a8-4efb-824a-3d8fc6bc0e87
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.1417901; 0.2855587; -1.4862055; 0.0037368; 2.0000000; 0.0000000
0.2998613; 0.1568452; 0.3110200; -1.4853771; 0.0018201; 2.0000000; 0.0000000
0.5997226; 0.4554837; 0.3366380; -1.4851910; -0.0005902; 2.0000000; 0.0000000
0.8995838; 0.7541733; 0.3622034; -1.4857746; -0.0033443; 2.0000000; 0.0000000
1.1994451; 1.0529538; 0.3874730; -1.4872200; -0.0063538; 2.0000000; 0.0000000
1.4993064; 1.3518512; 0.4121785; -1.4895986; -0.0095692; 2.0000000; 0.0000000
1.7991677; 1.6508741; 0.4360300; -1.4929722; -0.0129830; 2.0000000; 0.0000000
2.0990289; 1.9500130; 0.4587179; -1.4974017; -0.0165770; 2.0000000; 0.0000000
2.3988902; 2.2492425; 0.4799152; -1.5029410; -0.0204805; 2.0000000; 0.0000000
2.6987515; 2.5485257; 0.4992647; -1.5097488; -0.0248776; 2.0000000; 0.0000000
2.9986128; 2.8478212; 0.5163784; -1.5178151; -0.0289927; 2.0000000; 0.0000000
3.2984741; 3.1474365; 0.5309096; -1.5270328; -0.0325667; 2.0000000; 0.0000000
3.5983353; 3.4472977; 0.5425314; -1.5372129; -0.0352524; 2.0000000; 0.0000000
3.8981966; 3.7472860; 0.5509945; -1.5480244; -0.0365319; 2.0000000; 0.0000000
4.1980579; 4.0473364; 0.5561813; -1.5589436; -0.0356985; 2.0000000; 0.0000000
4.4979192; 4.3473855; 0.5581678; -1.5692083; -0.0319388; 2.0000000; 0.0000000
4.7977805; 4.6473732; 0.5573015; -1.5777404; -0.0237736; 2.0000000; 0.0000000
5.0976417; 4.9472444; 0.5543360; -1.5828576; -0.0086077; 2.0000000; 0.0000000
5.3975030; 5.2469414; 0.5506759; -1.5817565; 0.0189051; 2.0000000; 0.0000000
5.6973643; 5.5464061; 0.5488737; -1.5693221; 0.0687494; 2.0000000; 0.0000000
5.9972256; 5.8455776; 0.5535933; -1.5360682; 0.1596458; 2.0000000; 0.0000000
6.2970868; 6.1450295; 0.5732518; -1.4671209; 0.3120091; 2.0000000; 0.0000000
6.5969481; 6.4406791; 0.6214848; -1.3397036; 0.5386335; 2.0000000; 0.0000000
6.8968094; 6.7243582; 0.7164053; -1.1455722; 0.7506643; 2.0000000; 0.0000000
7.1966707; 6.9798939; 0.8716857; -0.8974330; 0.8894197; 2.0000000; 0.0000000
7.4965320; 7.1863985; 1.0876862; -0.6285277; 0.8863012; 2.0000000; 0.0000000
7.7963932; 7.3303480; 1.3493031; -0.3847987; 0.7313474; 2.0000000; 0.0000000
8.0962545; 7.4145066; 1.6362470; -0.1955914; 0.5331265; 2.0000000; 0.0000000
8.3961158; 7.4518725; 1.9333720; -0.0639220; 0.3465889; 2.0000000; 0.0000000
8.6959771; 7.4578634; 2.2330422; 0.0171704; 0.2089895; 2.0000000; 0.0000000
8.9958383; 7.4447913; 2.5325537; 0.0658111; 0.1227133; 2.0000000; 0.0000000
9.2956996; 7.4205279; 2.8314036; 0.0934524; 0.0666225; 2.0000000; 0.0000000
9.5955609; 7.3901817; 3.1297527; 0.1074918; 0.0304037; 2.0000000; 0.0000000
9.8954222; 7.3570399; 3.4279180; 0.1127147; 0.0064922; 2.0000000; 0.0000000
10.1952835; 7.3232633; 3.7261597; 0.1120082; -0.0097748; 2.0000000; 0.0000000
10.4951447; 7.2903243; 4.0246091; 0.1072562; -0.0211234; 2.0000000; 0.0000000
10.7950060; 7.2592585; 4.3232566; 0.0996151; -0.0293821; 2.0000000; 0.0000000
11.0948673; 7.2308204; 4.6218419; 0.0900399; -0.0345343; 2.0000000; 0.0000000
11.3947286; 7.2054396; 4.9206619; 0.0793241; -0.0368092; 2.0000000; 0.0000000
11.6945898; 7.1833250; 5.2199910; 0.0681857; -0.0368242; 2.0000000; 0.0000000
11.9944511; 7.1645136; 5.5195895; 0.0573373; -0.0347114; 2.0000000; 0.0000000
