x,y,velocity,lookahead
4.3754,-0.3024,2.000,1.700
4.7489,-0.1746,2.000,1.700
5.2125,-0.0333,2.000,1.700
5.6919,0.1807,2.000,1.700
6.1526,0.3636,2.000,1.700
6.6013,0.6231,2.000,1.700
6.9288,0.8927,2.000,1.700
7.1945,1.0103,2.000,1.700
7.5433,1.2330,2.000,1.700
7.8321,1.4443,2.000,1.700
8.0847,1.6356,2.000,1.700
8.2789,1.8394,2.000,1.700
8.3948,2.0686,2.000,1.700
8.4910,2.2815,2.000,1.700
8.5877,2.4708,2.000,1.700
8.6555,2.7276,2.000,1.700
8.7027,2.9707,2.000,1.700
8.7500,3.2139,2.000,1.700
8.7778,3.4622,2.000,1.700
8.8055,3.7104,2.000,1.700
8.8277,3.9590,2.000,1.700
8.8500,4.2077,2.000,1.700
8.8475,4.4575,2.000,1.700
8.8449,4.7073,2.000,1.700
8.8537,4.9543,2.000,1.700
8.8625,5.2341,2.000,1.700
8.8363,5.5024,2.000,1.700
8.7837,5.7707,2.000,1.700
8.6529,5.9991,2.000,1.700
8.4563,6.1815,2.000,1.700
8.1802,6.2907,2.000,1.700
7.8876,6.3179,2.000,1.700
7.6809,6.3205,2.000,1.700
7.4912,6.2953,2.000,1.700
7.3197,6.2176,2.000,1.700
7.1680,6.1083,2.000,1.700
7.0640,5.9465,2.000,1.700
6.9654,5.7553,2.000,1.700
6.8614,5.5289,2.000,1.700
6.7942,5.3026,2.000,1.700
6.7415,5.0588,2.000,1.700
6.6933,4.7835,2.000,1.700
6.6258,4.4819,2.000,1.700
6.5914,4.2662,2.000,1.700
6.5081,4.0631,2.000,1.700
6.4318,3.9431,2.000,1.700
6.3565,3.8600,2.000,1.700
6.1681,3.7360,2.000,1.700
5.9098,3.6487,2.000,1.700
5.6471,3.5895,2.000,1.700
5.3390,3.5851,2.000,1.700
5.0658,3.6320,2.000,1.700
4.8387,3.7220,2.000,1.700
4.6831,3.8162,2.000,1.700
4.5070,3.9710,2.000,1.700
4.3406,4.1560,2.000,1.700
4.1677,4.3870,2.000,1.700
4.0138,4.6331,2.000,1.700
3.9127,4.8133,2.000,1.700
3.7828,5.0312,2.000,1.700
3.6384,5.2163,2.000,1.700
3.5202,5.4543,2.000,1.700
3.3752,5.6547,2.000,1.700
