x,y,velocity,lookahead
4.1707,0.0402,1.700,1.750
4.7268,0.1368,1.700,1.750
5.2412,0.2018,1.700,1.750
5.7899,0.2542,1.700,1.750
6.2774,0.3847,1.700,1.750
6.7676,0.5093,1.700,1.750
7.2444,0.6373,1.700,1.750
7.7695,0.7488,1.700,1.750
8.2070,0.8679,1.700,1.750
8.5851,1.0252,1.700,1.750
8.8908,1.2627,1.700,1.750
9.1450,1.5670,1.700,1.750
9.2909,1.7926,1.700,1.750
9.5050,2.1129,1.700,1.750
9.6041,2.2860,1.700,1.750
9.6719,2.5428,1.700,1.750
9.7191,2.7859,1.700,1.750
9.7664,3.0291,1.700,1.750
9.7942,3.2774,1.700,1.750
9.8219,3.5256,1.700,1.750
9.8441,3.7742,1.700,1.750
9.8664,4.0229,1.700,1.750
9.8639,4.2727,1.700,1.750
9.7920,4.6842,1.700,1.750
9.7315,5.1160,1.700,1.750
9.6017,5.4882,1.700,1.750
9.5293,5.8258,1.700,1.750
9.4536,6.0941,1.700,1.750
9.3228,6.3225,1.700,1.750
9.1724,6.5742,1.700,1.750
8.8963,6.7989,1.700,1.750
8.4882,6.8492,1.700,1.750
8.0967,6.8749,1.700,1.750
7.6529,6.8728,1.700,1.750
7.2273,6.7720,1.700,1.750
6.9139,6.6165,1.700,1.750
6.6251,6.3854,1.700,1.750
6.4572,6.0556,1.700,1.750
6.3070,5.7599,1.700,1.750
6.1705,5.3488,1.700,1.750
6.1409,4.9433,1.700,1.750
6.1620,4.5525,1.700,1.750
6.0945,4.2047,1.700,1.750
5.7598,3.9197,1.700,1.750
6.7160,3.5549,1.700,1.750
6.5242,3.2732,1.700,1.750
6.2872,3.1208,1.700,1.750
6.0526,3.0430,1.700,1.750
5.7943,2.9557,1.700,1.750
5.4623,2.9302,1.700,1.750
5.0849,2.9152,1.700,1.750
4.6269,2.9852,1.700,1.750
4.1919,3.1445,1.700,1.750
3.9439,3.4235,1.700,1.750
3.8164,3.6383,1.700,1.750
3.6788,3.9112,1.700,1.750
3.6169,4.2322,1.700,1.750
3.5416,4.6460,1.700,1.750
3.4902,5.0860,1.700,1.750
4.2217,5.3084,1.700,1.750
4.0983,5.7014,1.700,1.750
3.8898,6.1011,1.700,1.750
3.6062,6.6018,1.700,1.750
3.2196,6.8879,1.700,1.750
2.7719,7.0992,1.700,1.750
2.3498,7.2462,1.700,1.750
1.9029,7.4852,1.700,1.750
1.3295,7.5708,1.700,1.750
0.7522,7.6383,1.700,1.750
0.2021,7.7329,1.700,1.750
-0.3315,7.7891,1.700,1.750
-0.6991,7.8187,1.700,1.750
-1.1308,7.8248,1.700,1.750
