# a40effbd-0617-405b-8e7a-09c21fe0a0cd
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.1482237; 0.1932537; -1.6041869; -0.0263773; 5.6973173; 0.0691793
0.9978649; 2.1445926; 0.1471543; -1.6296284; -0.0248895; 5.7094210; 0.0142383
1.9957299; 3.1411296; 0.0762768; -1.6537486; -0.0236477; 5.7119089; -0.0272653
2.9935948; 4.1369810; -0.0179329; -1.6758029; -0.0199757; 5.7071437; 0.0115406
3.9914597; 5.1294365; -0.1324150; -1.6957714; -0.0211416; 5.7091612; 0.1293220
4.9893247; 6.1154921; -0.2645808; -1.7074449; 0.0049216; 5.7317199; -0.9355366
5.9871896; 7.1028598; -0.3780330; -1.6334658; 0.1652038; 5.5664652; -3.4093023
6.9850545; 8.0959264; -0.3290500; -1.3781141; 0.3502029; 4.9174677; -3.8341671
7.9829195; 9.0126197; 0.0521962; -0.9450069; 0.5373429; 4.0656520; -1.9643841
8.9807844; 9.6234097; 0.8212825; -0.4200566; 0.4523596; 3.5509360; 0.4824642
9.9786493; 9.8440559; 1.7947548; -0.0742713; 0.1872472; 3.6840216; 1.4611561
10.9765143; 9.8667223; 2.7994059; 0.0041298; 0.0252288; 4.0605526; 1.4505124
11.9743792; 9.8614548; 3.7933702; -0.0007201; -0.0191707; 4.4026036; 1.1840422
12.9722442; 9.8746219; 4.7862324; -0.0299986; -0.0438915; 4.6632550; 1.0370258
13.9701091; 9.9249654; 5.7770849; -0.0571663; 0.0358430; 4.8801199; -0.6931890
14.9679740; 9.9378351; 6.7772462; 0.0633874; 0.2273504; 4.7362593; -2.7780876
15.9658390; 9.7224159; 7.7556681; 0.4055271; 0.4471461; 4.1094817; -2.1973418
16.9637039; 9.1124524; 8.5203401; 0.9609798; 0.5356050; 3.5358930; -0.0568049
17.9615688; 8.1884018; 8.8840051; 1.3980638; 0.3216264; 3.5198256; 1.3260637
18.9594338; 7.1920425; 8.9417362; 1.5886230; 0.0935381; 3.8775813; 1.6166610
19.9572987; 6.2001464; 8.9023440; 1.6137805; -0.0074146; 4.2734126; 1.5114497
20.9551636; 5.2058514; 8.8632599; 1.6067896; -0.0046486; 4.6128626; 1.2202815
21.9530286; 4.2076422; 8.8285105; 1.6051435; -0.0005356; 4.8696872; 0.9812435
22.9508935; 3.2083625; 8.7945613; 1.6041871; -0.0017449; 5.0667692; 0.8003564
23.9487584; 2.2095376; 8.7624442; 1.6013183; -0.0039876; 5.2220154; 0.6566859
24.9466234; 1.2116511; 8.7343396; 1.5962248; -0.0060839; 5.3460278; 0.5385360
25.9444883; 0.2145085; 8.7122595; 1.5893924; -0.0075999; 5.4456207; 0.4396359
26.9423532; -0.7823113; 8.6977179; 1.5811601; -0.0089205; 5.5255932; 0.3566998
27.9402182; -1.7793589; 8.6920352; 1.5716359; -0.0101270; 5.5896383; 0.2880623
28.9380831; -2.7772038; 8.6964128; 1.5610388; -0.0109389; 5.6408289; 0.2325049
29.9359480; -3.7760194; 8.7115749; 1.5502458; -0.0106109; 5.6818103; 0.1845893
30.9338130; -4.7724904; 8.7369402; 1.5408144; -0.0083988; 5.7141367; 0.1506312
31.9316779; -5.7696486; 8.7704405; 1.5342650; -0.0046379; 5.7403813; 0.1252675
32.9295428; -6.7690489; 8.8086131; 1.5317080; -0.0003208; 5.7621157; 0.1055686
33.9274078; -7.7699715; 8.8472734; 1.5330936; 0.0023726; 5.7803688; 0.0900118
34.9252727; -8.7706234; 8.8835949; 1.5359931; 0.0026817; 5.7958868; 0.0387422
35.9231377; -9.7692032; 8.9172696; 1.5378126; 0.0003602; 5.8025531; -0.2657351
36.9210026; -10.7643447; 8.9497536; 1.5426059; 0.0290029; 5.7566732; -1.7655977
37.9188675; -11.7563381; 8.9469600; 1.6292369; 0.1786309; 5.4420245; -3.8444933
38.9167325; -12.7314480; 8.7655182; 1.9228937; 0.4360990; 4.6843421; -3.3169506
39.9145974; -13.5412029; 8.2031886; 2.4578540; 0.6154974; 3.9145016; -1.1805568
40.9124623; -13.9176838; 7.2953386; 2.9812527; 0.3434537; 3.6010069; 1.0535891
41.9103273; -13.9551565; 6.2983033; -3.1052585; 0.0538925; 3.8820008; 1.5775998
42.9081922; -13.9155479; 5.3018093; -3.1094067; -0.0310866; 4.2683009; 1.2961709
43.9060571; -13.9013213; 4.3031551; 3.1389390; -0.0303978; 4.5612717; 1.0799546
44.9039221; -13.9178305; 3.3017716; 3.1125125; -0.0229375; 4.7917113; 0.6306812
45.9017870; -13.9520764; 2.3022312; 3.1174090; 0.0612472; 4.9212973; -1.8100680
46.8996519; -13.9175491; 1.3050213; -3.0077361; 0.3001880; 4.5394669; -3.2844359
47.8975169; -13.5891264; 0.3669998; -2.5523241; 0.6217890; 3.7485881; -1.5548459
48.8953818; -12.8033720; -0.1929163; -1.8478453; 0.5446704; 3.3089062; 0.8827761
49.8932467; -11.8098240; -0.2574376; -1.4877158; 0.1463455; 3.5651989; 1.8262607
50.8911117; -10.8223522; -0.1609265; -1.4853049; -0.0448149; 4.0441768; 1.6674421
51.8889766; -9.8290096; -0.0991512; -1.5274529; -0.0251894; 4.4365674; 1.3179314
52.8868415; -8.8302629; -0.0639956; -1.5408459; -0.0059979; 4.7237025; 1.0407408
53.8847065; -7.8303430; -0.0353112; -1.5420088; 0.0025948; 4.9386641; 0.8522621
54.8825714; -6.8306371; -0.0042748; -1.5369613; 0.0060938; 5.1079632; 0.7123881
55.8804363; -5.8319048; 0.0326948; -1.5307544; 0.0052509; 5.2452857; 0.5997818
56.8783013; -4.8341659; 0.0747428; -1.5271931; 0.0016168; 5.3581736; 0.5044122
57.8761662; -3.8372524; 0.1182923; -1.5278520; -0.0029629; 5.4513021; 0.4200711
58.8740311; -2.8408661; 0.1588457; -1.5331916; -0.0077817; 5.5276617; 0.3431321
59.8718961; -1.8445108; 0.1916617; -1.5433659; -0.0127282; 5.5892613; 0.2711411
60.8697610; -0.8476618; 0.2117913; -1.5587141; -0.0180264; 5.6374610; 0.1945834
61.8676260; 0.1500486; 0.2139517; -1.5794084; -0.0231507; 5.6717989; 0.1453715
62.8654909; 1.1482237; 0.1932537; -1.6041869; -0.0263773; 5.6973173; 0.0691793
